Geneid;Length;Group;Rep1_ChIP.bam;Rep1_input.bam;Rep2_ChIP.bam;Rep2_input.bam;Rep1_input_norm;Rep1_ChIP_norm;Rep2_input_norm;Rep2_ChIP_norm;Rep1_enriched;Rep2_enriched;Average;SD;z-score;p-value;log10(p-value);rank;p-adj;log2(FC);color
L1M2;5371400;LINE/L1;783.0;662.0;866.0;763.0;0.0017174953625030808;0.002007213664433866;0.0019480187908496732;0.002223488874853008;1.168686511914972;1.1414103833583569;1.1550484476366645;0.013638064278307604;11.368801647553532;1e-16;16.0;5;3.1486000000000003e-13;0.20795336566669054;grey
MER91A;438350;DNA/hAT-Tip100;173.0;138.0;148.0;125.0;0.0003580277341773794;0.000443483989715273;0.00031913807189542484;0.00037999578923584903;1.2386861334478507;1.1906940058231787;1.2146900696355147;0.023996063812335988;8.946886927561263;1e-16;16.0;7;2.249e-13;0.28058825453997466;grey
Charlie16;316978;DNA/hAT-Charlie;44.0;68.0;45.0;71.0;0.00017641946321783912;0.00011279361588134111;0.00018127042483660131;0.00011553926024062977;0.639349048137993;0.6373861612823924;0.6383676047101927;0.000981443427800266;368.4699342277355;1e-16;16.0;8;1.967875e-13;-0.6475406540254183;blue
HERV9NC-int;395772;LTR/ERV1;83.0;46.0;114.0;65.0;0.00011934257805912647;0.00021276977541252983;0.00016595179738562092;0.0002926994592762621;1.7828488279104904;1.7637619109127127;1.7733053694116014;0.009543458498888824;81.02988759280925;1e-16;16.0;9;1.7492222222222224e-13;0.8264409947820193;red
MER6B;114295;DNA/TcMar-Tigger;22.0;43.0;18.0;32.0;0.00011155936644657474;5.639680794067056e-05;8.169934640522875e-05;4.621570409625191e-05;0.5055318055044596;0.5656802181381234;0.5356060118212915;0.030074206316831886;15.441604120365335;1e-16;16.0;11;1.4311818181818184e-13;-0.9007559408418524;blue
Eutr15#DNA/hAT-Tip100?;29930;DNA/hAT-Tip100?;3.0;8.0;4.0;11.0;2.07552309668046e-05;7.69047381009144e-06;2.8084150326797384e-05;1.0270156465833757e-05;0.3705318347163369;0.365692262230706;0.3681120484735214;0.0024197862428154415;261.1337895661691;1e-16;16.0;17;9.260588235294118e-14;-1.441783124332648;blue
LTR18B;187059;LTR/ERVL;52.0;35.0;69.0;45.0;9.080413547977014e-05;0.00013330154604158494;0.00011488970588235294;0.0001771601990356323;1.4680118403999631;1.5420023724061436;1.5050071064030535;0.03699526600309022;13.650587249754336;1e-16;16.0;18;8.746111111111112e-14;0.5897702991764981;red
L1MB2;4205268;LINE/L1;605.0;635.0;637.0;677.0;0.0016474464579901153;0.0015509122183684403;0.0017284517973856208;0.0016355224171840258;0.9414037165496433;0.9462354805947404;0.9438195985721918;0.0024158820225485544;23.254612975075073;1e-16;16.0;23;6.844782608695653e-14;-0.08341696529717695;grey
MER125;19030;DNA/Merlin;4.0;7.0;7.0;11.0;1.8160827095954028e-05;1.025396508012192e-05;2.8084150326797384e-05;1.7972773815209074e-05;0.5646199386153705;0.6399614589037355;0.602290698759553;0.03767076014418247;10.557506663476914;1e-16;16.0;27;5.830740740740742e-14;-0.7314681154900842;blue
MamGypLTR1c;256757;LTR/Gypsy;64.0;59.0;61.0;57.0;0.00015306982838018395;0.00016406344128195072;0.00014552696078431372;0.0001566198861039648;1.0718209004223982;1.0762259120912443;1.0740234062568212;0.002202505834423052;33.608721983799754;1e-16;16.0;29;5.4286206896551724e-14;0.1030254344058992;grey
